energy,hr,day,month,yr,diff
,1,17,8,2025,0
,2,17,8,2025,0
,3,17,8,2025,0
,4,17,8,2025,0
,5,17,8,2025,0
,6,17,8,2025,0
,7,17,8,2025,0
,8,17,8,2025,0
,9,17,8,2025,0
,10,17,8,2025,0
953691,11,17,8,2025,0
953709,12,17,8,2025,18
,13,17,8,2025,29
,14,17,8,2025,18
,15,17,8,2025,21
953805,16,17,8,2025,28
,17,17,8,2025,22
,18,17,8,2025,23
,19,17,8,2025,10
,20,17,8,2025,16
953889,21,17,8,2025,13
,22,17,8,2025,13
,23,17,8,2025,14
,24,17,8,2025,13
,1,18,8,2025,13
,2,18,8,2025,13
,3,18,8,2025,13
953977,4,18,8,2025,9
953977,5,18,8,2025,11
953977,6,18,8,2025,11
953977,7,18,8,2025,10
953977,8,18,8,2025,25
953977,9,18,8,2025,15
953977,10,18,8,2025,20
953977,11,18,8,2025,20
953977,12,18,8,2025,19
953977,13,18,8,2025,20
953977,14,18,8,2025,19
953977,15,18,8,2025,33
953977,16,18,8,2025,24
953977,17,18,8,2025,25
953977,18,18,8,2025,27
953977,19,18,8,2025,26
,20,18,8,2025,26
,21,18,8,2025,26
954391,22,18,8,2025,55
,23,18,8,2025,24
954459,24,18,8,2025,44
,1,19,8,2025,20
,2,19,8,2025,32
,3,19,8,2025,21
,4,19,8,2025,32
,5,19,8,2025,32
,6,19,8,2025,29
954636,7,19,8,2025,11
954677,8,19,8,2025,41
954690,9,19,8,2025,13
,10,19,8,2025,26
,11,19,8,2025,26
,12,19,8,2025,25
,13,19,8,2025,24
,14,19,8,2025,24
,15,19,8,2025,26
,16,19,8,2025,23
,17,19,8,2025,25
954950,18,19,8,2025,61
954959,19,19,8,2025,9
954991,20,19,8,2025,32
955014,21,19,8,2025,23
955025,22,19,8,2025,11
,23,19,8,2025,26
,24,19,8,2025,27
955085,1,20,8,2025,7
955108,2,20,8,2025,23
955110,3,20,8,2025,2
955119,4,20,8,2025,9
,5,20,8,2025,15
,6,20,8,2025,16
,7,20,8,2025,14
,8,20,8,2025,12
,9,20,8,2025,13
,10,20,8,2025,22
,11,20,8,2025,14
,12,20,8,2025,30
,13,20,8,2025,17
,14,20,8,2025,25
955387,15,20,8,2025,89
955419,16,20,8,2025,32
955447,17,20,8,2025,28
955466,18,20,8,2025,19
955503,19,20,8,2025,37
955518,20,20,8,2025,15
955553,21,20,8,2025,35
955584,22,20,8,2025,31
955595,23,20,8,2025,11
,24,20,8,2025,25
955642,1,21,8,2025,22
,2,21,8,2025,22
,3,21,8,2025,23
,4,21,8,2025,15
955707,5,21,8,2025,5
,1,24,8,2025,0
,2,24,8,2025,0
,3,24,8,2025,0
,4,24,8,2025,0
,5,24,8,2025,0
,6,24,8,2025,0
,7,24,8,2025,0
,8,24,8,2025,0
957450,9,24,8,2025,0
957465,10,24,8,2025,15
957482,11,24,8,2025,17
957494,12,24,8,2025,12
957494,13,24,8,2025,0
957527,14,24,8,2025,33
957538,15,24,8,2025,11
957556,16,24,8,2025,18
957572,17,24,8,2025,16
957584,18,24,8,2025,12
957591,19,24,8,2025,7
,20,24,8,2025,13
957629,21,24,8,2025,25
,22,24,8,2025,14
957666,23,24,8,2025,23
957681,24,24,8,2025,15
957681,1,25,8,2025,0
,2,25,8,2025,13
,3,25,8,2025,14
,4,25,8,2025,14
,5,25,8,2025,13
957784,6,25,8,2025,49
957811,7,25,8,2025,27
957832,8,25,8,2025,21
957840,9,25,8,2025,8
957872,10,25,8,2025,32
957878,11,25,8,2025,6
957967,13,25,8,2025,89
958011,14,25,8,2025,44
958039,15,25,8,2025,28
958057,16,25,8,2025,18
958094,17,25,8,2025,37
958122,18,25,8,2025,28
958143,19,25,8,2025,21
958169,20,25,8,2025,26
958195,21,25,8,2025,26
958215,22,25,8,2025,20
,23,25,8,2025,25
958263,24,25,8,2025,23
958265,1,26,8,2025,2
958308,2,26,8,2025,43
958319,3,26,8,2025,11
,4,26,8,2025,23
,5,26,8,2025,21
958388,6,26,8,2025,25
958421,7,26,8,2025,33
958449,8,26,8,2025,28
958451,9,26,8,2025,63
958468,10,26,8,2025,17
958500,11,26,8,2025,32
958518,12,26,8,2025,67
958551,13,26,8,2025,33
958558,14,26,8,2025,7
958578,15,26,8,2025,60
958602,16,26,8,2025,24
958644,17,26,8,2025,86
958662,18,26,8,2025,18
958683,19,26,8,2025,21
958700,20,26,8,2025,56
958721,21,26,8,2025,21
958739,22,26,8,2025,18
958739,23,26,8,2025,39
958770,24,26,8,2025,31
958778,1,27,8,2025,8
958802,2,27,8,2025,24
958804,3,27,8,2025,2
,4,27,8,,20
958831,5,27,8,2025,7
,6,27,8,,18
958888,7,27,8,2025,39
958907,8,27,8,2025,19
958915,9,27,8,2025,8
958960,10,27,8,2025,45
958987,11,27,8,2025,27
959012,12,27,8,2025,25
959039,13,27,8,2025,27
959065,14,27,8,2025,26
959088,15,27,8,2025,23
959123,16,27,8,2025,35
959128,17,27,8,2025,5
,18,27,8,2025,24
,19,27,8,2025,23
,20,27,8,2025,23
959275,21,27,8,2025,77
959300,22,27,8,2025,25
,23,27,8,2025,30
,24,27,8,2025,29
959400,1,28,8,2025,41
,2,28,8,2025,35
959454,3,28,8,2025,19
,4,28,8,2025,36
959501,5,28,8,2025,11
,6,28,8,2025,28
959584,7,28,8,2025,55
,8,28,8,2025,32
959658,9,28,8,2025,42
959688,10,28,8,2025,30
959716,11,28,8,2025,28
959723,12,28,8,2025,35
959768,13,28,8,2025,45
959793,14,28,8,2025,25
959812,15,28,8,2025,44
959838,16,28,8,2025,26
959865,17,28,8,2025,53
959892,18,28,8,2025,27
959924,19,28,8,2025,32
959956,20,28,8,2025,64
959986,21,28,8,2025,30
960015,22,28,8,2025,29
960047,23,28,8,2025,61
960077,24,28,8,2025,30
960105,1,29,8,2025,58
960114,2,29,8,2025,9
,3,29,8,2025,40
,4,29,8,2025,36
,5,29,8,2025,37
960246,6,29,8,2025,19
960277,7,29,8,2025,31
,8,29,8,2025,32
,9,29,8,2025,29
960370,10,29,8,2025,32
960401,11,29,8,2025,31
960431,12,29,8,2025,30
