energy,hr,day,month,yr,diff
,0,24,6,2024,0
,1,24,6,2024,0
,2,24,6,2024,0
,3,24,6,2024,0
,4,24,6,2024,0
,5,24,6,2024,0
,6,24,6,2024,0
,7,24,6,2024,0
,8,24,6,2024,0
,9,24,6,2024,0
,10,24,6,2024,0
,11,24,6,2024,0
,12,24,6,2024,0
,13,24,6,2024,0
,14,24,6,2024,0
658271,15,24,6,2024,0
658289,16,24,6,2024,18
658314,17,24,6,2024,25
658352,18,24,6,2024,38
,19,24,6,2024,27
,20,24,6,2024,30
,21,24,6,2024,31
,22,24,6,2024,29
,23,24,6,2024,30
,0,25,6,2024,30
,1,25,6,2024,29
,2,25,6,2024,29
,3,25,6,2024,29
,4,25,6,2024,29
,5,25,6,2024,29
,6,25,6,2024,29
,7,25,6,2024,29
,8,25,6,2024,29
,9,25,6,2024,29
,10,25,6,2024,29
,11,25,6,2024,29
,12,25,6,2024,29
658916,13,25,6,2024,39
658950,14,25,6,2024,34
658964,15,25,6,2024,14
658984,16,25,6,2024,20
658990,17,25,6,2024,6
658999,18,25,6,2024,9
659076,19,25,6,2024,77
659085,20,25,6,2024,9
659100,21,25,6,2024,15
659126,22,25,6,2024,26
659165,23,25,6,2024,39
659180,0,26,6,2024,15
659187,1,26,6,2024,7
659195,2,26,6,2024,8
659208,3,26,6,2024,13
659219,4,26,6,2024,11
,5,26,6,2024,17
,6,26,6,2024,15
659264,7,26,6,2024,13
659284,8,26,6,2024,20
659308,9,26,6,2024,24
659328,10,26,6,2024,20
659354,11,26,6,2024,26
659393,12,26,6,2024,39
659419,13,26,6,2024,26
659443,14,26,6,2024,24
659467,15,26,6,2024,24
659489,16,26,6,2024,22
659507,17,26,6,2024,18
659533,18,26,6,2024,26
659552,19,26,6,2024,19
659580,20,26,6,2024,28
659603,21,26,6,2024,23
659635,22,26,6,2024,32
659665,23,26,6,2024,30
659696,0,26,6,2024,31
659725,1,27,6,2024,29
659754,2,27,6,2024,29
659786,3,27,6,2024,32
,4,27,6,2024,29
,5,27,6,2024,30
,6,27,6,2024,30
659898,7,27,6,2024,23
659936,8,27,6,2024,38
659963,9,27,6,2024,27
,10,27,6,2024,29
,11,27,6,2024,29
,12,27,6,2024,29
,13,27,6,2024,29
,14,27,6,2024,29
,15,27,6,2024,30
,16,27,6,2024,21
,17,27,6,2024,28
,18,27,6,2024,28
,19,27,6,2024,27
,20,27,6,2024,24
,21,27,6,2024,26
,22,27,6,2024,26
,23,27,6,2024,33
,0,28,6,2024,27
,1,28,6,2024,27
,2,28,6,2024,27
,3,28,6,2024,27
,4,28,6,2024,27
,5,28,6,2024,27
,6,28,6,2024,27
,7,28,6,2024,29
,8,28,6,2024,31
,9,28,6,2024,27
,10,28,6,2024,27
,11,28,6,2024,29
,12,28,6,2024,27
,13,28,6,2024,27
,14,28,6,2024,27
,15,28,6,2024,25
,16,28,6,2024,27
,17,28,6,2024,27
,18,28,6,2024,27
,19,28,6,2024,38
,20,28,6,2024,26
,21,28,6,2024,26
,22,28,6,2024,24
661066,23,28,6,2024,83
661092,0,29,6,2024,26
661124,1,29,6,2024,26
661140,2,29,6,2024,16
,3,29,6,2024,23
,4,29,6,2024,24
661191,5,29,6,2024,4
,6,29,6,2024,17
661225,7,29,6,2024,17
661250,8,29,6,2024,25
661278,9,29,6,2024,28
661310,10,29,6,2024,32
661344,11,29,6,2024,34
661375,12,29,6,2024,31
661405,13,29,6,2024,30
661416,14,29,6,2024,11
661439,15,29,6,2024,23
661462,16,29,6,2024,23
661491,17,29,6,2024,29
661527,18,29,6,2024,36
661563,19,29,6,2024,36
661593,20,29,6,2024,30
661624,21,29,6,2024,31
661654,22,29,6,2024,30
,23,29,6,2024,31
,0,30,6,2024,25
661739,1,30,6,2024,29
661740,2,30,6,2024,1
661764,3,30,6,2024,24
661794,4,30,6,2024,30
661840,5,30,6,2024,46
661854,6,30,6,2024,14
661881,7,30,6,2024,27
661925,8,30,6,2024,44
661938,9,30,6,2024,13
661955,10,30,6,2024,17
661981,11,30,6,2024,26
661994,12,30,6,2024,13
662011,13,30,6,2024,17
662032,14,30,6,2024,21
,15,30,6,2024,21
662110,16,30,6,2024,57
662124,17,30,6,2024,14
662156,18,30,6,2024,32
662187,19,30,6,2024,31
662211,20,30,6,2024,24
662233,21,30,6,2024,22
,22,30,6,2024,27
,23,30,6,2024,29
